Apiospora_sphaerosperma_JCM_6018	F9A897E8
Apiospora_sp._TS-2023a_CBS_14255	F72C1F5F
Apiotrichum_akiyoshidainum_HP2023	FC35D36E
Apiotrichum_brassicae_JCM_1599	F5267376
Apiotrichum_cacaoliposimilis_UB0827	F7380357
Apiotrichum_domesticum_JCM_9580	F962C521
Apiotrichum_gamsii_JCM_9941	FF6C5AEB
Apiotrichum_gracile_JCM_10018	F48A4361
Apiotrichum_laibachii_JCM_2947	FE1A3286
Apiotrichum_montevideense_JCM_9937	FDF3175D
Apiotrichum_mycotoxinovorans_CICC_1454	F72C339E
Apiotrichum_porosum_DSM_27194	F8598B76
Apiotrichum_siamense_L8in5	F3CBA606
Apiotrichum_sp._M3315A-1_M3315A-1	F4E82836
Apiotrichum_sp._PA4207_PA4207	FDB92978
Apiotrichum_sp._PDH3304B_PDH3304B	FFEF698D
Apiotrichum_sp._PL3306B_PL3306B	F11B9CDA
Apiotrichum_sp._PL3309B_PL3309B	FA4F8E7A
Apiotrichum_sp._Y3305A_Y3305A	F3924A56
Apiotrichum_sp._Y4201-1_Y4201-1	FE62542B
Apiotrichum_sp._Y4204_Y4204	FAAA4B44
Apiotrichum_veenhuisii_JCM_10691	F5CEFD05
Aplosporella_prunicola_CBS_121167	F844F32B
Apodospora_peruviana_CBS_118394	F8F3DE3F
Apophysomyces_elegans_B7760	F7842AA1
Apophysomyces_ossiformis_NRRL_A-21654	FC1B5C44
Apophysomyces_sp._BC1015_BC1015	F7A4DD7C
Apophysomyces_sp._BC1021_BC1021	FA0E2668
Apophysomyces_sp._BC1034_BC1034	F326D04B
Apophysomyces_trapeziformis_B9324	FC96D4A1
Apophysomyces_variabilis_NCCPF_102052	F50698D8
Aquanectria_penicillioides_NNIBRFG19	FD586D47
Arachnomyces_peruvianus	FDFB31ED
Arachnomyces_sp._PD_36_PD_36	F3B131E9
Arachnopeziza_araneosa_D781	F3D7DC09
Armillaria_altimontana_837-10	FD11AF05
Armillaria_borealis_FPL87.14	FA8A03C5
Armillaria_cepistipes_B5	F824F975
Armillaria_fumosa_CBS_122221	F3BFAEA7
Armillaria_fuscipes_CMW2740	F8BF2F37
Armillaria_gallica_M3	F9955721
Armillaria_luteobubalina_HWK02	F0971087
Armillaria_mellea_ELDO17	FC07BDFE
Armillaria_nabsnona_CMW6904	F3E21C53
Armillaria_novae-zelandiae_ICMP_16352	F9C6B3D5
Armillaria_ostoyae_C18_9	FF8ADD81
Armillaria_sinapina_YAFMHJ89	F6B4CD8C
Armillaria_solidipes_ID001	F6E697C6
Armillaria_sp._CMW_4456_CMW_4456	F1FDA740
Arthonia_radiata_EZ20314	FBD40602
Arthrinium_phaeospermum_M.B.Ellis	F8EF8A46
Arthrinium_puccinioides_CBS_549.89	F2A5DC34
Arthrinium_sp._KUC21332_KUC21332	F0A483AA
